Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Class
1	Spectrogram 1	1	1987.138273854	1991.013119327	1349.3	1732.1	M
2	Spectrogram 1	1	2001.318559414	2007.914041070	1272.7	1722.5	M
3	Spectrogram 1	1	2015.993506098	2022.176770151	1291.9	1751.2	M
4	Spectrogram 1	1	2031.987549114	2039.902127101	1311.0	1712.9	M
5	Spectrogram 1	1	2052.061684176	2059.728931601	1253.6	1684.2	M
6	Spectrogram 1	1	2068.880162398	2075.722974616	1234.4	1693.8	M
7	Spectrogram 1	1	2085.368866538	2091.717017632	1157.9	1770.3	M
8	Spectrogram 1	1	2099.278631115	2105.709225730	1177.0	1846.9	M
9	Spectrogram 1	1	2115.520004693	2122.280373390	1119.6	1885.2	M
10	Spectrogram 1	1	2131.763952379	2138.359434035	1119.6	1789.5	M
11	Spectrogram 1	1	2146.768673147	2155.013025216	1148.3	1885.2	M
12	Spectrogram 1	1	2162.103167997	2170.100189504	1148.3	1770.3	M
13	Spectrogram 1	1	2176.580590435	2185.979151794	1052.6	1732.1	M
14	Spectrogram 1	1	2183.423402653	2197.851018775	535.9	2631.6	F
15	Spectrogram 1	1	2196.779253006	2205.353379158	880.4	1741.6	M
16	Spectrogram 1	1	2195.377713154	2206.342701407	488.0	2516.7	F2
17	Spectrogram 1	1	2207.084693093	2213.432844187	976.1	2248.8	M2
18	Spectrogram 1	1	2214.092392353	2222.006970340	899.5	1952.2	M
19	Spectrogram 1	1	2227.872481202	2232.077100758	1004.8	1655.5	M2
20	Spectrogram 1	1	2232.872920033	2239.550845209	775.1	1875.6	M
21	Spectrogram 1	1	2241.364602665	2245.569222220	985.6	1952.2	M2
22	Spectrogram 1	1	2246.393657427	2253.154026125	870.8	1942.6	M
23	Spectrogram 1	1	2249.830517560	2263.681029037	478.5	2861.2	F
24	Spectrogram 1	1	2264.010803120	2272.090268148	803.8	2095.7	M
25	Spectrogram 1	1	2283.076724078	2291.156189107	813.4	2086.1	M
26	Spectrogram 1	1	2290.496640941	2301.214298632	660.3	2631.6	F2
27	Spectrogram 1	1	2300.802081028	2308.551771974	880.4	1980.9	M
28	Spectrogram 1	1	2318.273234741	2325.198490480	880.4	1971.3	M
29	Spectrogram 1	1	2321.406088528	2334.514608319	488.0	2641.1	F
30	Spectrogram 1	1	2335.174156485	2343.418508555	679.4	2134.0	M
31	Spectrogram 1	1	2356.703936280	2365.607836516	851.7	2095.7	M
32	Spectrogram 1	1	2374.841510834	2383.003419383	813.4	2191.4	M
33	Spectrogram 1	1	2379.150041587	2394.979197561	526.3	3004.8	F
34	Spectrogram 1	1	2394.731866999	2403.141106111	775.1	2038.3	M
35	Spectrogram 1	1	2414.848086050	2423.834429806	803.8	2067.0	M
36	Spectrogram 1	1	2433.793776351	2442.450346025	842.1	2239.2	M
37	Spectrogram 1	1	2447.974061912	2455.888639899	823.0	2191.4	M
38	Spectrogram 1	1	2454.013906600	2467.204869911	478.5	2717.7	F
39	Spectrogram 1	1	2466.792652308	2475.201891419	832.5	1856.5	M
40	Spectrogram 1	1	2480.176848154	2485.453233479	828.3	2103.5	M2
41	Spectrogram 1	1	2487.596765017	2495.264012442	730.2	2081.7	M
42	Spectrogram 1	1	2507.053435902	2514.473352765	752.0	1961.9	M
43	Spectrogram 1	1	2510.911961916	2526.823561411	479.6	2713.9	F
44	Spectrogram 1	1	2526.658674369	2536.551896853	686.6	2059.9	M
45	Spectrogram 1	1	2543.058062313	2548.252004117	882.8	1951.0	M2
46	Spectrogram 1	1	2548.746665241	2557.733008997	871.9	1929.2	M
47	Spectrogram 1	1	2565.209603138	2577.741018284	839.2	2005.4	M
48	Spectrogram 1	1	2585.408265709	2596.208366920	817.4	2005.4	M
49	Spectrogram 1	1	2604.420081785	2611.345337524	806.5	1863.8	M
50	Spectrogram 1	1	2611.757555128	2621.815664653	686.6	2615.8	F2
51	Spectrogram 1	1	2622.557656339	2628.658476871	828.3	1863.8	M
52	Spectrogram 1	1	2637.232603023	2643.086092993	784.7	1874.7	M
53	Spectrogram 1	1	2647.762183252	2653.780560263	937.3	1885.6	M2
54	Spectrogram 1	1	2668.373063427	2675.050988603	773.8	1972.8	M
55	Spectrogram 1	1	2675.710536769	2681.151809135	795.6	1874.7	M2
56	Spectrogram 1	1	2683.048010111	2689.808378808	784.7	2168.9	M
57	Spectrogram 1	1	2701.216497413	2707.729535548	970.0	1972.8	M
58	Spectrogram 1	1	2704.999454294	2719.179739854	479.6	3553.1	F
59	Spectrogram 1	1	2718.437748168	2725.857665031	784.7	2223.4	M
60	Spectrogram 1	1	2726.104995593	2730.969163314	861.0	2299.7	M2
61	Spectrogram 1	1	2739.873063550	2747.787641537	752.0	2038.1	M
62	Spectrogram 1	1	2748.230771888	2754.414035940	959.1	2190.7	M2
63	Spectrogram 1	1	2755.073584106	2761.339291679	893.7	2125.3	M
64	Spectrogram 1	1	2772.634054015	2778.240213422	828.3	1983.7	M
65	Spectrogram 1	1	2785.083025640	2791.018959131	730.2	1842.0	M
66	Spectrogram 1	1	2807.154698767	2814.244841547	948.2	2038.1	M
67	Spectrogram 1	1	2813.667736902	2824.055620510	425.1	2888.3	F
68	Spectrogram 1	1	2825.457160362	2832.217529059	719.3	1983.7	M
69	Spectrogram 1	1	2846.730162811	2854.562297277	959.1	1994.6	M
70	Spectrogram 1	1	2851.099669408	2867.258599465	381.5	2659.4	F
71	Spectrogram 1	1	2867.670817069	2875.997612659	828.3	1896.5	M
72	Spectrogram 1	1	2889.961480405	2898.370719516	795.6	1874.7	M
73	Spectrogram 1	1	2909.747925373	2917.497616318	697.5	1961.9	M
74	Spectrogram 1	1	2927.438071009	2933.374004499	817.4	1700.3	M
75	Spectrogram 1	1	2954.069902304	2960.005835794	937.3	1972.8	M
76	Spectrogram 1	1	2971.383041650	2977.813636265	937.3	1885.6	M
77	Spectrogram 1	1	2990.851733428	2997.282328043	784.7	1885.6	M
78	Spectrogram 1	1	3028.293112719	3035.630586061	839.2	1907.4	M
79	Spectrogram 1	1	3052.001635366	3058.020012377	806.5	1831.1	M
80	Spectrogram 1	1	3076.654822164	3083.497634382	1013.6	1918.3	M
81	Spectrogram 1	1	3083.827408465	3093.967961511	632.2	2376.0	F2
82	Spectrogram 1	1	3096.132960726	3103.717764630	839.2	1831.1	M
83	Spectrogram 1	1	3118.392711315	3125.070636491	850.1	1896.5	M
84	Spectrogram 1	1	3127.873716195	3137.519608117	577.7	2125.3	F2
85	Spectrogram 1	1	3139.988616885	3152.355144990	839.2	1951.0	M
86	Spectrogram 1	1	3163.567463805	3170.657606585	861.0	1994.6	M
87	Spectrogram 1	1	3181.127933714	3187.393641287	708.4	2092.6	M
88	Spectrogram 1	1	3201.383273562	3209.132964508	828.3	1733.0	M
89	Spectrogram 1	1	3221.087275009	3227.930087227	948.2	1896.5	M
90	Spectrogram 1	1	3244.084720432	3249.525992798	926.4	1700.3	M
91	Spectrogram 1	1	3259.831432885	3266.426914541	882.8	1700.3	M
